Ward Number	Ward Name	Project #	Prefix	Project Name	Sub-project Name	Year	Budgeted
2	Etobicoke North	FAC906397-208	FAC	Renovations	947 Martin Grove-Renovate Kitchen,WR	2015	12.0
2	Etobicoke North	FAC906397-208	FAC	Renovations	947 Martin Grove-Renovate Kitchen,WR	2016	202.0
2	Etobicoke North	HOM907634-10	HOM	Kipling Acres Redevelopment	Kipling Acres Site (Phase 1) - Scope Change	2014	5000.0
2	Etobicoke North	PKS000017-81	PKS	Park Development	Rexlington Park - Redevelopment^	2016	50.0
2	Etobicoke North	PKS000017-81	PKS	Park Development	Rexlington Park - Redevelopment^	2017	850.0
2	Etobicoke North	PKS023   -292	PKS	Community Centres	West Acres RC Redevelopment	2014	550.0
2	Etobicoke North	FIR907928-1	FIR	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	2014	47.0
2	Etobicoke North	FIR907928-1	FIR	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	2015	394.0
2	Etobicoke North	FIR907928-1	FIR	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	Station A (Stn 414)-Hwy 27 and Rexdale Blvd	2016	557.0
3	Etobicoke Centre	ACH000016-69	ACH	Major Maintenance	Neilson Park-FY	2019	330.0
3	Etobicoke Centre	ACH000016-69	ACH	Major Maintenance	Neilson Park-FY	2020	200.0
3	Etobicoke Centre	FAC906393-89	FAC	Re-roofing	2 Civic Centre-Replacement Of Roofing	2021	500.0
3	Etobicoke Centre	FAC906393-97	FAC	Re-roofing	390 The West Mall-Roof Replacement	2017	314.0
3	Etobicoke Centre	FAC906394-153	FAC	Structural/Building Envelope	399 The West Mall-Repl Slnts, Rehab Service tunnel	2016	160.0
3	Etobicoke Centre	FAC906394-153	FAC	Structural/Building Envelope	399 The West Mall-Repl Slnts, Rehab Service tunnel	2017	1467.0
3	Etobicoke Centre	FAC906394-154	FAC	Structural/Building Envelope	399 The West Mall-Repl Guards & Railings	2019	194.0
3	Etobicoke Centre	FAC906394-154	FAC	Structural/Building Envelope	399 The West Mall-Repl Guards & Railings	2020	626.0
3	Etobicoke Centre	FAC906394-17	FAC	Structural/Building Envelope	399 The West Mall-Window Replacement	2017	420.0
3	Etobicoke Centre	FAC906394-17	FAC	Structural/Building Envelope	399 The West Mall-Window Replacement	2018	1059.0
3	Etobicoke Centre	FAC906394-17	FAC	Structural/Building Envelope	399 The West Mall-Window Replacement	2019	2269.0
3	Etobicoke Centre	FAC906394-271	FAC	Structural/Building Envelope	2 Civic Centre-Rpl Windows,Entrance Door	2017	115.0
3	Etobicoke Centre	FAC906394-271	FAC	Structural/Building Envelope	2 Civic Centre-Rpl Windows,Entrance Door	2018	450.0
3	Etobicoke Centre	FAC906394-271	FAC	Structural/Building Envelope	2 Civic Centre-Rpl Windows,Entrance Door	2019	926.0
3	Etobicoke Centre	FAC906395-128	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Heater, Compressor	2017	182.0
3	Etobicoke Centre	FAC906395-128	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Heater, Compressor	2018	1501.0
3	Etobicoke Centre	FAC906395-128	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Heater, Compressor	2019	367.0
3	Etobicoke Centre	FAC906395-241	FAC	Mechanical and Electrical	399 West Mall-Rpl Chiller,Chilled Water Pump	2019	80.0
3	Etobicoke Centre	FAC906395-241	FAC	Mechanical and Electrical	399 West Mall-Rpl Chiller,Chilled Water Pump	2020	767.0
3	Etobicoke Centre	FAC906395-269	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Int.Lghtg, Ceiling Tiles	2019	63.0
3	Etobicoke Centre	FAC906395-269	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Int.Lghtg, Ceiling Tiles	2020	222.0
3	Etobicoke Centre	FAC906395-269	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Int.Lghtg, Ceiling Tiles	2021	440.0
3	Etobicoke Centre	FAC906395-275	FAC	Mechanical and Electrical	390 The West Mall - Trasformer	2015	75.0
3	Etobicoke Centre	FAC906395-275	FAC	Mechanical and Electrical	390 The West Mall - Trasformer	2016	853.0
3	Etobicoke Centre	FAC906395-282	FAC	Mechanical and Electrical	390 The West Mall-Rpl of Chiller	2021	109.0
3	Etobicoke Centre	FAC906395-282	FAC	Mechanical and Electrical	390 The West Mall-Rpl of Chiller	2022	1122.0
3	Etobicoke Centre	FAC906395-291	FAC	Mechanical and Electrical	399 The West Mall-Rpl of Main Switchboard	2017	1099.0
3	Etobicoke Centre	FAC906395-291	FAC	Mechanical and Electrical	399 The West Mall-Rpl of Main Switchboard	2018	405.0
3	Etobicoke Centre	FAC906395-292	FAC	Mechanical and Electrical	399 The West Mall- North Block Main Swtchbrd	2017	65.0
3	Etobicoke Centre	FAC906395-292	FAC	Mechanical and Electrical	399 The West Mall- North Block Main Swtchbrd	2018	696.0
3	Etobicoke Centre	FAC906395-321	FAC	Mechanical and Electrical	399 The West Mall-Perimeter& Int Zones AHU	2016	43.0
3	Etobicoke Centre	FAC906395-321	FAC	Mechanical and Electrical	399 The West Mall-Perimeter& Int Zones AHU	2017	1311.0
3	Etobicoke Centre	FAC906395-357	FAC	Mechanical and Electrical	399 The West Mall-Rpl Multizone Unit	2015	118.0
3	Etobicoke Centre	FAC906395-357	FAC	Mechanical and Electrical	399 The West Mall-Rpl Multizone Unit	2016	1065.0
3	Etobicoke Centre	FAC906395-359	FAC	Mechanical and Electrical	399 The West Mall-Int Lighting Systems	2019	163.0
3	Etobicoke Centre	FAC906395-359	FAC	Mechanical and Electrical	399 The West Mall-Int Lighting Systems	2020	499.0
3	Etobicoke Centre	FAC906395-359	FAC	Mechanical and Electrical	399 The West Mall-Int Lighting Systems	2021	1019.0
3	Etobicoke Centre	FAC906395-411	FAC	Mechanical and Electrical	390 The West Mall-Rpl Int & Ext Lighting	2017	195.0
3	Etobicoke Centre	FAC906395-411	FAC	Mechanical and Electrical	390 The West Mall-Rpl Int & Ext Lighting	2018	703.0
3	Etobicoke Centre	FAC906395-412	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Main Swtchbrd,MCC,FAlarm	2015	433.0
3	Etobicoke Centre	FAC906395-412	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Main Swtchbrd,MCC,FAlarm	2016	583.0
3	Etobicoke Centre	FAC906395-412	FAC	Mechanical and Electrical	2 Civic Centre-Rpl Main Swtchbrd,MCC,FAlarm	2017	591.0
3	Etobicoke Centre	FAC906395-413	FAC	Mechanical and Electrical	390 The West Mall-Refriger Chiller System	2015	86.0
3	Etobicoke Centre	FAC906395-413	FAC	Mechanical and Electrical	390 The West Mall-Refriger Chiller System	2016	783.0
3	Etobicoke Centre	FAC906395-571	FAC	Mechanical and Electrical	399 The West Mall-Repl A/C #1 & 2	2021	68.0
3	Etobicoke Centre	FAC906395-571	FAC	Mechanical and Electrical	399 The West Mall-Repl A/C #1 & 2	2022	678.0
3	Etobicoke Centre	FAC906395-621	FAC	Mechanical and Electrical	2 Civic Centre-Elevator Cab Finishes Upgrade	2021	122.0
3	Etobicoke Centre	FAC906395-621	FAC	Mechanical and Electrical	2 Civic Centre-Elevator Cab Finishes Upgrade	2022	1241.0
3	Etobicoke Centre	FAC906396-58	FAC	Sitework	666 Renforth Dr-Asphalt Pavement Replace	2014	5.0
3	Etobicoke Centre	FAC906396-58	FAC	Sitework	666 Renforth Dr-Asphalt Pavement Replace	2015	74.0
3	Etobicoke Centre	FAC906396-62	FAC	Sitework	2 Civic Centre-Rpl Asphalt Paving	2019	596.0
3	Etobicoke Centre	FAC906396-62	FAC	Sitework	2 Civic Centre-Rpl Asphalt Paving	2020	1019.0
3	Etobicoke Centre	FAC906396-62	FAC	Sitework	2 Civic Centre-Rpl Asphalt Paving	2021	474.0
3	Etobicoke Centre	FAC906396-67	FAC	Sitework	399 The West Mall-Concrete Sidewalks, Curbs	2019	181.0
3	Etobicoke Centre	FAC906396-67	FAC	Sitework	399 The West Mall-Concrete Sidewalks, Curbs	2020	828.0
3	Etobicoke Centre	FAC906396-67	FAC	Sitework	399 The West Mall-Concrete Sidewalks, Curbs	2021	851.0
3	Etobicoke Centre	FAC906396-70	FAC	Sitework	390 The West Mall-Asphalt Pavement	2021	394.0
3	Etobicoke Centre	FAC906397-107	FAC	Renovations	2 Civic Centre-Rpl Stairwell Rails, Ceiling Tiles	2019	130.0
3	Etobicoke Centre	FAC906397-107	FAC	Renovations	2 Civic Centre-Rpl Stairwell Rails, Ceiling Tiles	2020	1217.0
3	Etobicoke Centre	FAC906397-112	FAC	Renovations	399 The West Mall-Rpl Carpeting Ceiling Tiles	2020	1265.0
3	Etobicoke Centre	FAC906397-112	FAC	Renovations	399 The West Mall-Rpl Carpeting Ceiling Tiles	2021	1366.0
3	Etobicoke Centre	FAC906397-112	FAC	Renovations	399 The West Mall-Rpl Carpeting Ceiling Tiles	2022	444.0
3	Etobicoke Centre	FAC906397-220	FAC	Renovations	399 The West Mall-Renovate Washrooms	2021	143.0
3	Etobicoke Centre	FAC906397-220	FAC	Renovations	399 The West Mall-Renovate Washrooms	2022	2626.0
3	Etobicoke Centre	TRN000183-7	TRN	Cycling Infrastructure	Centennial Pk(E) Path Dev throughout  (TBP) W14,15	2016	50.0
3	Etobicoke Centre	TRN000183-7	TRN	Cycling Infrastructure	Centennial Pk(E) Path Dev throughout  (TBP) W14,15	2017	600.0
3	Etobicoke Centre	PKS000017-738	PKS	Park Development	Ward 3 Park Improvements	2014	160.0
4	Etobicoke Centre	ACH000012-144	ACH	Restoration/Preservation of Heritage Elements	Montgomery's Inn Restoration-2013	2014	100.0
4	Etobicoke Centre	ACH000012-94	ACH	Restoration/Preservation of Heritage Elements	Montgomery's Inn Tea Room - FY	2015	150.0
4	Etobicoke Centre	ACH000013-18	ACH	Refurbishment and Rehabilitation	Montgomery's Inn Interiors - FY	2015	147.0
4	Etobicoke Centre	ACH000013-18	ACH	Refurbishment and Rehabilitation	Montgomery's Inn Interiors - FY	2016	105.0
4	Etobicoke Centre	ACH000012-156	ACH	Restoration/Preservation of Heritage Elements	Montgomery's Inn Restoration-2014	2014	182.0
4	Etobicoke Centre	ACH000012-156	ACH	Restoration/Preservation of Heritage Elements	Montgomery's Inn Restoration-2014	2015	174.0
4	Etobicoke Centre	PKS000019-297	PKS	Playgrounds/Waterplay	Martin Grove Gardens Park Waterplay - S42	2014	550.0
4	Etobicoke Centre	PKS023   -300	PKS	Community Centres	Edenbridge CC - Design	2014	50.0
4	Etobicoke Centre	PKS023   -301	PKS	Community Centres	Edenbridge CC - Construction - S37	2015	350.0
4	Etobicoke Centre	ACH000012-154	ACH	Restoration/Preservation of Heritage Elements	Montgomery's Inn Tea Room-2014	2015	50.0
5	Etobicoke Lakeshore	FAC906393-44	FAC	Re-roofing	320 Bering-Rpl Rooftop Unit	2020	17.0
5	Etobicoke Lakeshore	FAC906393-44	FAC	Re-roofing	320 Bering-Rpl Rooftop Unit	2021	88.0
5	Etobicoke Lakeshore	FAC906394-276	FAC	Structural/Building Envelope	146 The East Mall - Various Structural Repairs	2014	640.0
5	Etobicoke Lakeshore	FAC906395-399	FAC	Mechanical and Electrical	146 The East Mall-Incinerator Replace	2018	83.0
5	Etobicoke Lakeshore	FAC906395-399	FAC	Mechanical and Electrical	146 The East Mall-Incinerator Replace	2019	907.0
5	Etobicoke Lakeshore	FAC906396-72	FAC	Sitework	308 Prince Edward-Crawlspace Ventilation,Drain and	2014	113.0
5	Etobicoke Lakeshore	FAC906397-141	FAC	Renovations	146 The East Mall-Various Projects	2021	37.0
5	Etobicoke Lakeshore	FAC906397-141	FAC	Renovations	146 The East Mall-Various Projects	2022	694.0
5	Etobicoke Lakeshore	PKS000017-631	PKS	Park Development	Queensland Park Improvements - S37 / S42	2014	55.0
5	Etobicoke Lakeshore	PKS000017-634	PKS	Park Development	Ward 5 Pk Improvements - S37	2014	60.0
5	Etobicoke Lakeshore	PKS000017-636	PKS	Park Development	East Mall Park Improvements Construction - S42	2014	700.0
5	Etobicoke Lakeshore	PKS000017-721	PKS	Park Development	Queensway Park Improvements - Donations/S42	2014	280.0
5	Etobicoke Lakeshore	PKS000017-722	PKS	Park Development	Ward 5 Park Improvements - S42	2014	220.0
5	Etobicoke Lakeshore	FAC906395-884	FAC	Mechanical and Electrical	330 BERING AVE-Rep.Rooftop HVAC Units	2019	8.0
5	Etobicoke Lakeshore	FAC906395-884	FAC	Mechanical and Electrical	330 BERING AVE-Rep.Rooftop HVAC Units	2020	65.0
5	Etobicoke Lakeshore	FAC906393-114	FAC	Re-roofing	330 BERING AVE-Main roof replacement	2022	9.0
5	Etobicoke Lakeshore	FAC906393-114	FAC	Re-roofing	330 BERING AVE-Main roof replacement	2023	134.0
5	Etobicoke Lakeshore	FAC906395-915	FAC	Mechanical and Electrical	146 The East Mall-HVAC System for Dog Kennel Area	2014	19.0
5	Etobicoke Lakeshore	FAC906395-915	FAC	Mechanical and Electrical	146 The East Mall-HVAC System for Dog Kennel Area	2015	145.0
5	Etobicoke Lakeshore	FAC906395-882	FAC	Mechanical and Electrical	320 BERING AVE-Air Make-up Units # 1 and 2	2020	13.0
5	Etobicoke Lakeshore	FAC906395-882	FAC	Mechanical and Electrical	320 BERING AVE-Air Make-up Units # 1 and 2	2021	145.0
5	Etobicoke Lakeshore	ACH000010-77	ACH	Cultural Infrastructure Development	Public Art Development Dundas-Islington	2014	230.0
5	Etobicoke Lakeshore	ACH000010-77	ACH	Cultural Infrastructure Development	Public Art Development Dundas-Islington	2015	210.0
5	Etobicoke Lakeshore	PKS000017-723	PKS	Park Development	Sunnylea Park Improvements - S42	2014	300.0
5	Etobicoke Lakeshore	FAC906397-285	FAC	Renovations	4219 Dundas Street W - Various Projects	2023	71.0
6	Etobicoke Lakeshore	FAC906393-68	FAC	Re-roofing	799 Islington Ave - Roofing Membrane	2014	739.0
6	Etobicoke Lakeshore	FAC906394-158	FAC	Structural/Building Envelope	259 Horner Ave-Rpl Windows,Doors,RenoWashrooms	2014	6.0
6	Etobicoke Lakeshore	FAC906394-158	FAC	Structural/Building Envelope	259 Horner Ave-Rpl Windows,Doors,RenoWashrooms	2015	162.0
6	Etobicoke Lakeshore	FAC906394-222	FAC	Structural/Building Envelope	259 Horner Ave-RPL Garage Sys Membrane	2017	6.0
6	Etobicoke Lakeshore	FAC906394-222	FAC	Structural/Building Envelope	259 Horner Ave-RPL Garage Sys Membrane	2018	42.0
6	Etobicoke Lakeshore	FAC906395-591	FAC	Mechanical and Electrical	130 Eight St-Various Mechanical Projects	2017	27.0
6	Etobicoke Lakeshore	FAC906395-591	FAC	Mechanical and Electrical	130 Eight St-Various Mechanical Projects	2019	253.0
6	Etobicoke Lakeshore	FAC906397-143	FAC	Renovations	259 Horner-Renovations Mech Sitework	2020	35.0
6	Etobicoke Lakeshore	FAC906397-143	FAC	Renovations	259 Horner-Renovations Mech Sitework	2021	277.0
6	Etobicoke Lakeshore	PKS000016-146	PKS	Outdoor Recreation Centres	Don Russell Park Baseball Facility^	2015	25.0
6	Etobicoke Lakeshore	PKS000016-146	PKS	Outdoor Recreation Centres	Don Russell Park Baseball Facility^	2016	725.0
6	Etobicoke Lakeshore	PKS000017-29	PKS	Park Development	Colonel Samuel Smith Site Development^	2014	50.0
6	Etobicoke Lakeshore	PKS000017-29	PKS	Park Development	Colonel Samuel Smith Site Development^	2015	50.0
6	Etobicoke Lakeshore	PKS000017-29	PKS	Park Development	Colonel Samuel Smith Site Development^	2016	500.0
6	Etobicoke Lakeshore	PKS000017-341	PKS	Park Development	Sand Beach Road ^	2017	102.0
6	Etobicoke Lakeshore	PKS000021-195	PKS	Arena	Col.Sam Smith Powerhouse 2nd Floor - S37	2014	425.0
6	Etobicoke Lakeshore	PKS000022-225	PKS	Trails & Pathways	Etobicoke Creek Trail Improvements - S37	2014	358.0
6	Etobicoke Lakeshore	TRN000183-9	TRN	Cycling Infrastructure	Etobicoke Valley Pk: Trail Ext. 9	2016	50.0
6	Etobicoke Lakeshore	TRN000183-9	TRN	Cycling Infrastructure	Etobicoke Valley Pk: Trail Ext. 9	2017	400.0
6	Etobicoke Lakeshore	TRN907838-1	TRN	Legion Road Extension & Grade Separation	Legion Road Extension Grade Separation	2020	15000.0
6	Etobicoke Lakeshore	TRN907838-1	TRN	Legion Road Extension & Grade Separation	Legion Road Extension Grade Separation	2021	15000.0
6	Etobicoke Lakeshore	TRN907838-1	TRN	Legion Road Extension & Grade Separation	Legion Road Extension Grade Separation	2022	15000.0
6	Etobicoke Lakeshore	LIB907950-1	LIB	Mimico Renovation	Mimico Renovation	2020	161.0
6	Etobicoke Lakeshore	LIB907950-1	LIB	Mimico Renovation	Mimico Renovation	2023	420.0
6	Etobicoke Lakeshore	PKS000017-740	PKS	Park Development	Grand Manitoba FY2014	2014	175.0
6	Etobicoke Lakeshore	PKS000022-253	PKS	Trails & Pathways	Humber Bay Shores Park Construction - PF&R/Transp	2015	550.0
6	Etobicoke Lakeshore	PKS000019-303	PKS	Playgrounds/Waterplay	Birch Park Improvements	2014	50.0
6	Etobicoke Lakeshore	FAC906397-279	FAC	Renovations	185 Fifth St-1st & 3rd Floor Interior Finishes,Roo	2023	123.0
6	Etobicoke Lakeshore	PKS000019-291	PKS	Playgrounds/Waterplay	Laburnham Park Playground - S37	2014	150.0
6	Etobicoke Lakeshore	PKS000022-252	PKS	Trails & Pathways	Humber Bay Shores Park - Design	2014	100.0
6	Etobicoke Lakeshore	PKS000017-668	PKS	Park Development	Amos Waites Park Improvements - S42	2014	35.0
6	Etobicoke Lakeshore	FAC906397-278	FAC	Renovations	185 Fifth Street - Various Projects	2023	112.0
6	Etobicoke Lakeshore	FAC906397-277	FAC	Renovations	185 Fifth St - Various Projects	2023	48.0
7	York West	FAC906395-244	FAC	Mechanical and Electrical	2753 Jane-Replace Gas-Fire Roof Top Units	2017	63.0
7	York West	PKS000017-653	PKS	Park Development	Apted Park Design - S37	2014	50.0
7	York West	PKS000017-654	PKS	Park Development	Apted Park Construction - S45	2015	700.0
7	York West	PKS023   -286	PKS	Community Centres	Western North York New CC (RFR#5) Design	2019	160.0
7	York West	PKS023   -287	PKS	Community Centres	Western North York New CC (RFR#5) Construction	2022	3160.0
7	York West	FAC906395-904	FAC	Mechanical and Electrical	61 Toryork- Carbon Monoxide Detection	2019	9.0
7	York West	FAC906395-904	FAC	Mechanical and Electrical	61 Toryork- Carbon Monoxide Detection	2020	86.0
7	York West	FAC906394-336	FAC	Structural/Building Envelope	49 Toryork Drive-Wood roof framing rehabilitation	2022	12.0
7	York West	FAC906394-336	FAC	Structural/Building Envelope	49 Toryork Drive-Wood roof framing rehabilitation	2023	103.0
8	York West	FAC906394-95	FAC	Structural/Building Envelope	1026 Finch W- Install F Alarm Sys Bldg A	2015	40.0
8	York West	FAC906394-95	FAC	Structural/Building Envelope	1026 Finch W- Install F Alarm Sys Bldg A	2016	505.0
8	York West	FAC906395-104	FAC	Mechanical and Electrical	4330 Dufferin -Cooling Tower CT-1	2018	60.0
8	York West	FAC906395-104	FAC	Mechanical and Electrical	4330 Dufferin -Cooling Tower CT-1	2019	186.0
8	York West	FAC906395-104	FAC	Mechanical and Electrical	4330 Dufferin -Cooling Tower CT-1	2020	390.0
8	York West	FAC906395-116	FAC	Mechanical and Electrical	4330 Dufferin St - Main Fire Alarm Control Panel	2017	74.0
8	York West	FAC906395-116	FAC	Mechanical and Electrical	4330 Dufferin St - Main Fire Alarm Control Panel	2018	798.0
8	York West	FAC906395-527	FAC	Mechanical and Electrical	1026 Finch W-Rpl Tailpipe Exh Fans EF	2023	5.0
8	York West	FAC906396-73	FAC	Sitework	1300 Sheppard W-Various Projects	2021	11.0
8	York West	FAC906396-73	FAC	Sitework	1300 Sheppard W-Various Projects	2022	345.0
8	York West	FAC906397-16	FAC	Renovations	1300 Sheppard Ave-Interior Repainting & Various Ar	2014	242.0
8	York West	FAC906397-16	FAC	Renovations	1300 Sheppard Ave-Interior Repainting & Various Ar	2015	60.0
8	York West	TRC000195-6	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Retrofit Activities for 2009+	2014	300.0
8	York West	TRC000195-6	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Retrofit Activities for 2009+	2015	300.0
8	York West	TRC000195-6	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Retrofit Activities for 2009+	2016	300.0
8	York West	TRC000195-6	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Retrofit Activities for 2009+	2017	300.0
8	York West	TRC000195-6	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Retrofit Activities for 2009+	2018	300.0
8	York West	TRC000195-7	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Visitor Centre Active 2009+	2014	50.0
8	York West	TRC000195-7	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Visitor Centre Active 2009+	2015	50.0
8	York West	TRC000195-7	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Visitor Centre Active 2009+	2016	50.0
8	York West	TRC000195-7	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Visitor Centre Active 2009+	2017	50.0
8	York West	TRC000195-7	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Visitor Centre Active 2009+	2018	50.0
8	York West	FAC906396-142	FAC	Sitework	40 Norfinch Dr - Pavement, Sidwalks & Curbs	2023	39.0
8	York West	FAC906395-890	FAC	Mechanical and Electrical	4330 Dufferin St - Various Projects	2023	325.0
8	York West	FAC906395-888	FAC	Mechanical and Electrical	4330 Dufferin Str - Various Projects - Mech.2	2023	186.0
8	York West	FAC906394-335	FAC	Structural/Building Envelope	4330 Dufferin Street Site - Various Projects - Arc	2023	82.0
8	York West	FAC906395-889	FAC	Mechanical and Electrical	4330 Dufferin St - Various Projects - Electrical 1	2023	42.0
8	York West	FAC906395-892	FAC	Mechanical and Electrical	4330 Dufferin St -Various Projects - Mech.1	2023	149.0
8	York West	FAC906395-891	FAC	Mechanical and Electrical	4330 Dufferin St - Various Projects - Mechanical 1	2023	26.0
8	York West	FAC906396-136	FAC	Sitework	1300 Sheppard W -SiteWork Interior Finishes Mech S	2023	42.0
8	York West	FAC906395-865	FAC	Mechanical and Electrical	1300 Sheppard Ave. W - Replacement of Power Distri	2023	6.0
9	York Centre	AMB907827-1	AMB	North West District - Multi-Function Station	NW District Multi-Function (FACILITY)	2015	1800.0
9	York Centre	FAC906393-3	FAC	Re-roofing	20 Beffort-Replace Roofing Systems	2014	6.0
9	York Centre	FAC906393-3	FAC	Re-roofing	20 Beffort-Replace Roofing Systems	2015	152.0
9	York Centre	FAC906395-259	FAC	Mechanical and Electrical	20 Beffort-Upgrade Office Area Power	2018	5.0
9	York Centre	FAC906395-259	FAC	Mechanical and Electrical	20 Beffort-Upgrade Office Area Power	2019	19.0
9	York Centre	FAC906396-88	FAC	Sitework	20 Beffort Rd-RPL Water Heater & Asphalt	2017	10.0
9	York Centre	FAC906396-88	FAC	Sitework	20 Beffort Rd-RPL Water Heater & Asphalt	2018	502.0
9	York Centre	FIR000117-2	FIR	Station B(Stn 144)-Keele St betw Sheppard/Wilson)	Station B (Stn 144)-Keele St. betw Sheppard/Wilson	2015	2000.0
9	York Centre	FIR000117-2	FIR	Station B(Stn 144)-Keele St betw Sheppard/Wilson)	Station B (Stn 144)-Keele St. betw Sheppard/Wilson	2016	3099.0
9	York Centre	PKS000019-226	PKS	Playgrounds/Waterplay	Belmar Park - New Splash Pad^	2014	450.0
9	York Centre	PKS000017-676	PKS	Park Development	Anthony Road Park Improvements - S37/S42	2014	450.0
10	York Centr	ACH000012-141	ACH	Restoration/Preservation of Heritage Elements	John Bales House - FY	2015	100.0
10	York Centr	ACH000012-141	ACH	Restoration/Preservation of Heritage Elements	John Bales House - FY	2020	100.0
10	York Centr	ACH000012-141	ACH	Restoration/Preservation of Heritage Elements	John Bales House - FY	2021	400.0
10	York Centr	ACH000012-141	ACH	Restoration/Preservation of Heritage Elements	John Bales House - FY	2022	400.0
10	York Centr	ACH000012-141	ACH	Restoration/Preservation of Heritage Elements	John Bales House - FY	2023	200.0
10	York Centr	FAC906395-149	FAC	Mechanical and Electrical	5700 Bathurst St-Repl Gas-fired Roof Top Units	2017	180.0
10	York Centr	FAC906395-230	FAC	Mechanical and Electrical	5700 Bathurst St-Replace Five Roof Exhaust Fans	2017	27.0
10	York Centr	FAC906397-207	FAC	Renovations	1009 Sheppard-Renovate Kitchen	2015	2.0
10	York Centr	FAC906397-207	FAC	Renovations	1009 Sheppard-Renovate Kitchen	2016	43.0
10	York Centr	LIB907894-1	LIB	Centennial Renovation	Centennial Renovation	2020	59.0
10	York Centr	LIB907894-1	LIB	Centennial Renovation	Centennial Renovation	2022	157.0
