Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution To Reserves/Reserve Funds,510A,Expenses,1880.62
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Equipment,300A,Expenses,833.66
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Inter-Divisional Charges,700A,Expenses,162883.66
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Materials & Supplies,200A,Expenses,3847.83
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Provincial Subsidies,805A,Revenues,-382805.94
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Salaries And Benefits,100A,Expenses,719129.92
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Service And Rent,400A,Expenses,55558.66
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,930A,Revenues,-166333.33
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution To Reserves/Reserve Funds,510A,Expenses,1880.59
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Equipment,300A,Expenses,832.68
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Inter-Divisional Charges,700A,Expenses,162883.66
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Materials & Supplies,200A,Expenses,3849.91
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Provincial Subsidies,805A,Revenues,-383832.59
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Salaries And Benefits,100A,Expenses,718913.33
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Service And Rent,400A,Expenses,55561.54
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution From Reserves/Reserve Funds,930A,Revenues,-166333.34
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution To Reserves/Reserve Funds,510A,Expenses,1886.24
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Equipment,300A,Expenses,833.66
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Charges,700A,Expenses,162883.68
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Recoveries,750A,Revenues,-128520.07
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Materials & Supplies,200A,Expenses,3852.96
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Provincial Subsidies,805A,Revenues,-382805.95
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Salaries And Benefits,100A,Expenses,844967.97
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Service And Rent,400A,Expenses,54091.11
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Contribution To Capital,505A,Expenses,546370.0
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Contribution To Reserves/Reserve Funds,510A,Expenses,270175.24
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Equipment,300A,Expenses,44733.02
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Materials & Supplies,200A,Expenses,2224298.08
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Salaries And Benefits,100A,Expenses,4478873.37
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Service And Rent,400A,Expenses,1079405.1
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Sundry and Other Revenues,940A,Revenues,-993598.07
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,User Fees & Donations,850A,Revenues,-7658122.24
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Contribution To Reserves/Reserve Funds,510A,Expenses,29231.41
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Equipment,300A,Expenses,3405.8
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Materials & Supplies,200A,Expenses,464949.65
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Other Expenditures,650A,Expenses,7000.0
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Salaries And Benefits,100A,Expenses,6787007.51
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Service And Rent,400A,Expenses,628435.96
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Sundry and Other Revenues,940A,Revenues,-1500.0
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,User Fees & Donations,850A,Revenues,-271930.0
Auditor General's Office,Auditor General's Office,Auditor General's Office,Contribution To Reserves/Reserve Funds,510A,Expenses,7680.85
Auditor General's Office,Auditor General's Office,Auditor General's Office,Equipment,300A,Expenses,47126.07
Auditor General's Office,Auditor General's Office,Auditor General's Office,Inter-Divisional Charges,700A,Expenses,22272.0
Auditor General's Office,Auditor General's Office,Auditor General's Office,Materials & Supplies,200A,Expenses,16189.3
Auditor General's Office,Auditor General's Office,Auditor General's Office,Salaries And Benefits,100A,Expenses,4572464.48
Auditor General's Office,Auditor General's Office,Auditor General's Office,Service And Rent,400A,Expenses,96833.33
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,-16273000.04
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution To Capital,505A,Expenses,216379465.0
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution To Reserves/Reserve Funds,510A,Expenses,18911637.96
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Charges,700A,Expenses,978187.0
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,Revenues,-2777457.0
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Other Expenditures,650A,Expenses,486164265.0
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,Revenues,-2440580.0
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,-1815044.96
Children's Services,Child Care Delivery,Child Care Delivery,Contribution From Reserves/Reserve Funds,930A,Revenues,-2716918.56
Children's Services,Child Care Delivery,Child Care Delivery,Contribution To Reserves/Reserve Funds,510A,Expenses,952318.75
Children's Services,Child Care Delivery,Child Care Delivery,Equipment,300A,Expenses,686869.61
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Charges,700A,Expenses,4626703.58
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Recoveries,750A,Revenues,-10200000.0
Children's Services,Child Care Delivery,Child Care Delivery,Materials & Supplies,200A,Expenses,2596159.79
Children's Services,Child Care Delivery,Child Care Delivery,Other Expenditures,650A,Expenses,733870.2
Children's Services,Child Care Delivery,Child Care Delivery,Provincial Subsidies,805A,Revenues,-257667348.74
Children's Services,Child Care Delivery,Child Care Delivery,Salaries And Benefits,100A,Expenses,78439654.31
Children's Services,Child Care Delivery,Child Care Delivery,Service And Rent,400A,Expenses,275537223.61
Children's Services,Child Care Delivery,Child Care Delivery,Transfers From Capital,920A,Revenues,-984194.5
Children's Services,Child Care Delivery,Child Care Delivery,User Fees & Donations,850A,Revenues,-25595668.0
Children's Services,Child Care System Management,Child Care System Management,Contribution From Reserves/Reserve Funds,930A,Revenues,-1400001.44
Children's Services,Child Care System Management,Child Care System Management,Contribution To Reserves/Reserve Funds,510A,Expenses,328429.8
Children's Services,Child Care System Management,Child Care System Management,Equipment,300A,Expenses,54642.43
Children's Services,Child Care System Management,Child Care System Management,Inter-Divisional Charges,700A,Expenses,169688.13
Children's Services,Child Care System Management,Child Care System Management,Materials & Supplies,200A,Expenses,42948.66
Children's Services,Child Care System Management,Child Care System Management,Other Expenditures,650A,Expenses,-7270.2
Children's Services,Child Care System Management,Child Care System Management,Provincial Subsidies,805A,Revenues,-76136256.27
Children's Services,Child Care System Management,Child Care System Management,Salaries And Benefits,100A,Expenses,5884060.05
Children's Services,Child Care System Management,Child Care System Management,Service And Rent,400A,Expenses,80919808.02
Children's Services,Child Care System Management,Child Care System Management,Transfers From Capital,920A,Revenues,-296434.5
Children's Services,Child Care System Management,Child Care System Management,User Fees & Donations,850A,Revenues,26068.0
City Clerk's Office,GV-Elect Government,Elections,Contribution From Reserves/Reserve Funds,930A,Revenues,-5580012.63
City Clerk's Office,GV-Elect Government,Elections,Equipment,300A,Expenses,7000.0
City Clerk's Office,GV-Elect Government,Elections,Inter-Divisional Charges,700A,Expenses,308962.2
City Clerk's Office,GV-Elect Government,Elections,Materials & Supplies,200A,Expenses,22003.52
City Clerk's Office,GV-Elect Government,Elections,Other Expenditures,650A,Expenses,253.86
City Clerk's Office,GV-Elect Government,Elections,Salaries And Benefits,100A,Expenses,4288942.32
City Clerk's Office,GV-Elect Government,Elections,Service And Rent,400A,Expenses,953000.73
City Clerk's Office,GV-Elect Government,Elections,Sundry and Other Revenues,940A,Revenues,-150.0
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Equipment,300A,Expenses,1250.0
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Inter-Divisional Charges,700A,Expenses,8500.08
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Materials & Supplies,200A,Expenses,17706.64
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Other Expenditures,650A,Expenses,31017.04
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Salaries And Benefits,100A,Expenses,1987130.6
City Clerk's Office,GV-Make Government Work,Deliver Provincially Delegated Services,Service And Rent,400A,Expenses,31883.92
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution To Reserves/Reserve Funds,510A,Expenses,187709.08
City Clerk's Office,GV-Make Government Work,Government & Official Services,Equipment,300A,Expenses,37292.24
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Charges,700A,Expenses,54711.16
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Recoveries,750A,Revenues,-80479.0
City Clerk's Office,GV-Make Government Work,Government & Official Services,Materials & Supplies,200A,Expenses,66883.22
City Clerk's Office,GV-Make Government Work,Government & Official Services,Salaries And Benefits,100A,Expenses,8821775.17
City Clerk's Office,GV-Make Government Work,Government & Official Services,Service And Rent,400A,Expenses,166592.47
City Clerk's Office,GV-Make Government Work,Government & Official Services,Transfers From Capital,920A,Revenues,-1099514.83
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Equipment,300A,Expenses,3444.07
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Charges,700A,Expenses,632349.07
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Recoveries,750A,Revenues,-87500.0
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Materials & Supplies,200A,Expenses,23183.76
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Salaries And Benefits,100A,Expenses,7086927.03
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Service And Rent,400A,Expenses,608953.61
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Sundry and Other Revenues,940A,Revenues,-32555.6
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,User Fees & Donations,850A,Revenues,-351786.4
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Contribution To Reserves/Reserve Funds,510A,Expenses,221224.04
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Equipment,300A,Expenses,21841.03
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Charges,700A,Expenses,106023.24
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Recoveries,750A,Revenues,-8764303.83
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Materials & Supplies,200A,Expenses,875831.56
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Salaries And Benefits,100A,Expenses,6510986.78
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Service And Rent,400A,Expenses,5527119.28
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Sundry and Other Revenues,940A,Revenues,-625302.12
City Clerk's Office,GV-Open Government,Corporate Information Production Services,User Fees & Donations,850A,Revenues,-187399.96
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Contribution To Reserves/Reserve Funds,510A,Expenses,55699.92
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Equipment,300A,Expenses,15908.08
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Charges,700A,Expenses,14403.8
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Recoveries,750A,Revenues,-484664.0
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Materials & Supplies,200A,Expenses,67975.0
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Other Expenditures,650A,Expenses,1500.0
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Salaries And Benefits,100A,Expenses,10536839.24
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Service And Rent,400A,Expenses,410251.75
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Sundry and Other Revenues,940A,Revenues,-147619.74
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Transfers From Capital,920A,Revenues,-135000.0
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,User Fees & Donations,850A,Revenues,-14900.0
City Council,City Council,City Council,Contribution From Reserves/Reserve Funds,930A,Revenues,-40000.0
City Council,City Council,City Council,Contribution To Reserves/Reserve Funds,510A,Expenses,99216.8
City Council,City Council,City Council,Equipment,300A,Expenses,102000.0
City Council,City Council,City Council,Inter-Divisional Charges,700A,Expenses,253278.68
City Council,City Council,City Council,Materials & Supplies,200A,Expenses,1281482.24
City Council,City Council,City Council,Salaries And Benefits,100A,Expenses,18622473.12
City Council,City Council,City Council,Service And Rent,400A,Expenses,595500.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Equipment,300A,Expenses,1633.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Inter-Divisional Charges,700A,Expenses,6910.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Materials & Supplies,200A,Expenses,1692.25
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Salaries And Benefits,100A,Expenses,602839.48
City Manager's Office,"CM-Equity, Diversity & Human Rights",Diversity & Inclusion,Service And Rent,400A,Expenses,5656.88
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Equipment,300A,Expenses,95.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Materials & Supplies,200A,Expenses,1261.53
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Salaries And Benefits,100A,Expenses,419067.35
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Service And Rent,400A,Expenses,1948.08
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Equipment,300A,Expenses,2091.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Inter-Divisional Recoveries,750A,Revenues,-2500.0
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Materials & Supplies,200A,Expenses,1723.21
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Salaries And Benefits,100A,Expenses,774669.72
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,Service And Rent,400A,Expenses,6715.15
City Manager's Office,CM-Executive Management,Accountability Processes,Materials & Supplies,200A,Expenses,819.06
City Manager's Office,CM-Executive Management,Accountability Processes,Salaries And Benefits,100A,Expenses,97943.24
City Manager's Office,CM-Executive Management,Accountability Processes,Service And Rent,400A,Expenses,1265.93
City Manager's Office,CM-Executive Management,City Manager,Contribution To Reserves/Reserve Funds,510A,Expenses,19973.16
City Manager's Office,CM-Executive Management,City Manager,Equipment,300A,Expenses,9700.0
City Manager's Office,CM-Executive Management,City Manager,Inter-Divisional Charges,700A,Expenses,12800.0
City Manager's Office,CM-Executive Management,City Manager,Materials & Supplies,200A,Expenses,4345.77
City Manager's Office,CM-Executive Management,City Manager,Salaries And Benefits,100A,Expenses,632583.03
City Manager's Office,CM-Executive Management,City Manager,Service And Rent,400A,Expenses,23984.7
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Materials & Supplies,200A,Expenses,1487.25
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Salaries And Benefits,100A,Expenses,489165.18
City Manager's Office,CM-Executive Management,Corporate Issues & Agenda Management,Service And Rent,400A,Expenses,15775.52
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Materials & Supplies,200A,Expenses,2345.92
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Salaries And Benefits,100A,Expenses,674574.0
City Manager's Office,CM-Executive Management,Financial Management & Program Support,Service And Rent,400A,Expenses,6420.85
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Materials & Supplies,200A,Expenses,1189.55
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Salaries And Benefits,100A,Expenses,954564.62
City Manager's Office,CM-Executive Management,Performance Management & Benchmarking,Service And Rent,400A,Expenses,12626.47
City Manager's Office,CM-Internal Auditing,Audit Reporting,Equipment,300A,Expenses,25492.8
City Manager's Office,CM-Internal Auditing,Audit Reporting,Inter-Divisional Recoveries,750A,Revenues,-609900.12
City Manager's Office,CM-Internal Auditing,Audit Reporting,Materials & Supplies,200A,Expenses,436.27
City Manager's Office,CM-Internal Auditing,Audit Reporting,Salaries And Benefits,100A,Expenses,938844.05
City Manager's Office,CM-Internal Auditing,Audit Reporting,Service And Rent,400A,Expenses,16891.66
City Manager's Office,CM-Internal Auditing,Audit Reporting,Sundry and Other Revenues,940A,Revenues,-35789.25
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Materials & Supplies,200A,Expenses,163.96
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Salaries And Benefits,100A,Expenses,192635.76
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Service And Rent,400A,Expenses,3221.41
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Sundry and Other Revenues,940A,Revenues,-6315.75
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Contribution From Reserves/Reserve Funds,930A,Revenues,320260.0
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Materials & Supplies,200A,Expenses,1128.17
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Salaries And Benefits,100A,Expenses,1131659.33
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,Service And Rent,400A,Expenses,68593.56
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Inter-Divisional Recoveries,750A,Revenues,-65134.72
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Materials & Supplies,200A,Expenses,1128.18
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Salaries And Benefits,100A,Expenses,1505704.07
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Service And Rent,400A,Expenses,12512.19
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,-376342.0
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Inter-Divisional Charges,700A,Expenses,7500.0
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Materials & Supplies,200A,Expenses,368.63
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Salaries And Benefits,100A,Expenses,866594.91
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,Service And Rent,400A,Expenses,10898.85
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Contribution From Reserves/Reserve Funds,930A,Revenues,-49500.0
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Equipment,300A,Expenses,705.16
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Materials & Supplies,200A,Expenses,1799.92
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Salaries And Benefits,100A,Expenses,776548.64
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,Service And Rent,400A,Expenses,45557.89
City Manager's Office,CM-Strategic Communications,Internal Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,-49500.0
City Manager's Office,CM-Strategic Communications,Internal Communications,Equipment,300A,Expenses,705.16
City Manager's Office,CM-Strategic Communications,Internal Communications,Inter-Divisional Charges,700A,Expenses,5000.0
City Manager's Office,CM-Strategic Communications,Internal Communications,Materials & Supplies,200A,Expenses,1799.92
City Manager's Office,CM-Strategic Communications,Internal Communications,Salaries And Benefits,100A,Expenses,791652.25
City Manager's Office,CM-Strategic Communications,Internal Communications,Service And Rent,400A,Expenses,40674.49
City Manager's Office,CM-Strategic Communications,Media Relations,Contribution From Reserves/Reserve Funds,930A,Revenues,-82500.0
City Manager's Office,CM-Strategic Communications,Media Relations,Equipment,300A,Expenses,1175.28
City Manager's Office,CM-Strategic Communications,Media Relations,Materials & Supplies,200A,Expenses,2999.91
City Manager's Office,CM-Strategic Communications,Media Relations,Salaries And Benefits,100A,Expenses,1132399.69
City Manager's Office,CM-Strategic Communications,Media Relations,Service And Rent,400A,Expenses,75929.86
City Manager's Office,CM-Strategic Communications,Public Communications,Contribution From Reserves/Reserve Funds,930A,Revenues,181500.0
City Manager's Office,CM-Strategic Communications,Public Communications,Equipment,300A,Expenses,4115.48
City Manager's Office,CM-Strategic Communications,Public Communications,Inter-Divisional Charges,700A,Expenses,25950.0
City Manager's Office,CM-Strategic Communications,Public Communications,Inter-Divisional Recoveries,750A,Revenues,-1143427.54
City Manager's Office,CM-Strategic Communications,Public Communications,Materials & Supplies,200A,Expenses,2347.38
City Manager's Office,CM-Strategic Communications,Public Communications,Salaries And Benefits,100A,Expenses,3031525.12
City Manager's Office,CM-Strategic Communications,Public Communications,Service And Rent,400A,Expenses,34726.06
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Contribution To Reserves/Reserve Funds,510A,Expenses,37783.46
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Equipment,300A,Expenses,-5277.64
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Charges,700A,Expenses,83212.89
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Inter-Divisional Recoveries,750A,Revenues,-1127495.95
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Materials & Supplies,200A,Expenses,26581.71
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Salaries And Benefits,100A,Expenses,6676616.81
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Service And Rent,400A,Expenses,1639812.55
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Sundry and Other Revenues,940A,Revenues,-159170.37
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,Transfers From Capital,920A,Revenues,-416366.53
City Manager's Office,HR Employment Services,HR Employment Services,Contribution To Reserves/Reserve Funds,510A,Expenses,16664.35
City Manager's Office,HR Employment Services,HR Employment Services,Equipment,300A,Expenses,29864.83
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Charges,700A,Expenses,30530.91
City Manager's Office,HR Employment Services,HR Employment Services,Inter-Divisional Recoveries,750A,Revenues,-1577718.61
City Manager's Office,HR Employment Services,HR Employment Services,Materials & Supplies,200A,Expenses,38947.74
City Manager's Office,HR Employment Services,HR Employment Services,Salaries And Benefits,100A,Expenses,10762391.03
City Manager's Office,HR Employment Services,HR Employment Services,Service And Rent,400A,Expenses,383723.15
City Manager's Office,HR Employment Services,HR Employment Services,Transfers From Capital,920A,Revenues,-416366.39
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Equipment,300A,Expenses,14669.58
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Charges,700A,Expenses,48109.45
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Inter-Divisional Recoveries,750A,Revenues,-293177.01
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Materials & Supplies,200A,Expenses,37233.38
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Salaries And Benefits,100A,Expenses,7042157.77
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Service And Rent,400A,Expenses,1362169.28
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,Transfers From Capital,920A,Revenues,-1249726.17
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Contribution To Reserves/Reserve Funds,510A,Expenses,16664.36
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Equipment,300A,Expenses,16809.48
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Charges,700A,Expenses,37741.83
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Inter-Divisional Recoveries,750A,Revenues,-313536.7
